,siren,departement,date_publication,activite_déclarée,code_ape,activte_insee,code_postal
410,892476060,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
411,892476110,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
412,892476151,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
413,892476185,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
414,892476243,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
415,892476532,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
416,892476581,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
417,892476615,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
418,892476821,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
419,892477159,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
420,892478892,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
421,892479221,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
422,892479262,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
423,892479270,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
424,892479379,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
425,892479437,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
426,892479502,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
427,892479585,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
428,892479700,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
429,892479759,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
430,892479817,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
431,892479882,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
432,892479965,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
433,892480013,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
434,892480161,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
435,892480237,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
436,892480401,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
437,892480443,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
438,892480500,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
439,892480609,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
440,892480757,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75011
